gene	cluster
AN8717	Cluster_7
AN8716	Cluster_1
AN11107	Cluster_1
AN11104	Cluster_5
AN8714	Cluster_5
AN8713	Cluster_5
AN8712	Cluster_1
AN8711	Cluster_1
AN8710	Cluster_1
AN8709	Cluster_1
AN8708	Cluster_1
AN8707	Cluster_1
AN8706	Cluster_1
AN8705	Cluster_1
AN8704	Cluster_1
AN8703	Cluster_1
AN8702	Cluster_1
AN8701	Cluster_8
AN11110	cluster_T
AN11103	Cluster_8
AN11106	Cluster_1
AN11102	Cluster_1
AN8698	Cluster_1
AN8697	Cluster_8
AN8696	cluster_T
AN8695	cluster_T
AN8694	Cluster_5
AN11101	Cluster_5
AN11109	Cluster_8
AN8692	Cluster_5
AN8691	Cluster_8
AN8690	Cluster_5
AN8689	Cluster_5
AN8688	Cluster_1
AN8687	Cluster_1
AN8685	Cluster_1
AN8684	Cluster_1
AN8683	Cluster_2
AN8682	Cluster_5
AN8681	Cluster_1
AN8680	Cluster_1
AN8679	Cluster_8
AN8678	Cluster_7
AN8677	Cluster_2
AN8676	Cluster_5
AN8675	Cluster_1
AN8674	Cluster_1
AN8673	Cluster_5
AN8672	Cluster_5
AN8671	Cluster_7
AN8670	Cluster_2
AN8669	Cluster_7
AN9500	Cluster_2
AN11246	cluster_T
AN8668	Cluster_8
AN8667	Cluster_2
AN8666	Cluster_5
AN12031	cluster_T
AN8665	cluster_T
AN8664	Cluster_2
AN12030	Cluster_7
AN12029	Cluster_2
AN8662	cluster_T
AN8661	cluster_T
AN8660	cluster_T
AN12028	cluster_T
